Date,Stock_Volume
2023.05.08,"49,815"
2023.05.09,"43,793"
2023.05.10,"115,416"
2023.05.11,"88,595"
2023.05.12,"123,294"
2023.05.15,"79,699"
2023.05.16,"114,191"
2023.05.17,"141,309"
2023.05.18,"70,626"
2023.05.19,"89,284"
2023.05.22,"84,565"
2023.05.23,"47,964"
2023.05.24,"84,395"
2023.05.25,"186,201"
2023.05.26,"105,965"
2023.05.30,"210,826"
2023.05.31,"2,417,223"
2023.06.01,"157,809"
2023.06.02,"52,820"
2023.06.05,"65,668"
2023.06.07,"211,666"
2023.06.08,"116,117"
2023.06.09,"74,890"
2023.06.12,"53,368"
2023.06.13,"110,524"
2023.06.14,"140,814"
2023.06.15,"85,492"
2023.06.16,"92,890"
2023.06.19,"105,952"
2023.06.20,"68,710"
2023.06.21,"91,042"
2023.06.22,"55,429"
2023.06.23,"46,570"
2023.06.26,"44,499"
2023.06.27,"29,610"
2023.06.28,"25,790"
2023.06.29,"47,750"
2023.06.30,"71,616"
2023.07.03,"82,576"
2023.07.04,"46,764"
2023.07.05,"82,598"
2023.07.06,"85,548"
2023.07.07,"85,666"
2023.07.10,"44,094"
2023.07.11,"43,453"
2023.07.12,"33,335"
2023.07.13,"86,333"
2023.07.14,"41,275"
2023.07.17,"63,454"
2023.07.18,"58,278"
2023.07.19,"70,616"
2023.07.20,"48,989"
2023.07.21,"46,793"
2023.07.24,"49,297"
2023.07.25,"78,999"
2023.07.26,"117,860"
2023.07.27,"52,028"
2023.07.28,"49,227"
2023.07.31,"72,561"
2023.08.01,"93,228"
2023.08.02,"73,459"
2023.08.03,"137,400"
2023.08.04,"330,428"
2023.08.07,"135,760"
2023.08.08,"56,173"
2023.08.09,"48,709"
2023.08.10,"83,733"
2023.08.11,"41,297"
2023.08.14,"47,764"
2023.08.16,"43,560"
2023.08.17,"36,774"
2023.08.18,"51,147"
2023.08.21,"38,417"
2023.08.22,"38,586"
2023.08.23,"58,460"
2023.08.24,"30,523"
2023.08.25,"25,510"
2023.08.28,"40,716"
2023.08.29,"83,814"
2023.08.30,"27,755"
2023.08.31,"52,435"
2023.09.01,"55,645"
2023.09.04,"19,173"
2023.09.05,"35,651"
2023.09.06,"33,499"
2023.09.07,"32,034"
2023.09.08,"23,705"
2023.09.11,"23,846"
2023.09.12,"21,380"
2023.09.13,"76,287"
2023.09.14,"81,221"
2023.09.15,"68,946"
2023.09.18,"40,936"
2023.09.19,"34,861"
2023.09.20,"54,971"
2023.09.21,"94,521"
2023.09.22,"62,328"
2023.09.25,"51,335"
2023.09.26,"44,033"
2023.09.27,"40,202"
2023.10.04,"90,312"
2023.10.05,"45,819"
2023.10.06,"38,788"
2023.10.10,"44,779"
2023.10.11,"51,409"
2023.10.12,"43,673"
2023.10.13,"26,484"
2023.10.16,"51,346"
2023.10.17,"40,112"
2023.10.18,"47,940"
2023.10.19,"54,423"
2023.10.20,"40,584"
2023.10.23,"28,253"
2023.10.24,"93,373"
2023.10.25,"14,197"
