Date,Stock_Volume
2019.12.30,"36,400"
2020.01.02,"66,887"
2020.01.03,"78,066"
2020.01.06,"49,312"
2020.01.07,"55,727"
2020.01.08,"70,144"
2020.01.09,"74,737"
2020.01.10,"54,262"
2020.01.13,"47,984"
2020.01.14,"56,702"
2020.01.15,"41,427"
2020.01.16,"53,856"
2020.01.17,"52,793"
2020.01.20,"58,344"
2020.01.21,"30,591"
2020.01.22,"35,157"
2020.01.23,"71,565"
2020.01.28,"78,912"
2020.01.29,"283,468"
2020.01.30,"53,996"
2020.01.31,"48,466"
2020.02.03,"54,978"
2020.02.04,"80,799"
2020.02.05,"57,894"
2020.02.06,"41,261"
2020.02.07,"45,344"
2020.02.10,"51,469"
2020.02.11,"35,831"
2020.02.12,"51,795"
2020.02.13,"63,067"
2020.02.14,"48,312"
2020.02.17,"40,947"
2020.02.18,"42,260"
2020.02.19,"43,150"
2020.02.20,"55,882"
2020.02.21,"51,953"
2020.02.24,"66,093"
2020.02.25,"67,074"
2020.02.26,"81,330"
2020.02.27,"142,693"
2020.02.28,"102,578"
2020.03.02,"74,646"
2020.03.03,"73,175"
2020.03.04,"67,706"
2020.03.05,"56,175"
2020.03.06,"53,556"
2020.03.09,"64,194"
2020.03.10,"80,519"
2020.03.11,"116,456"
2020.03.12,"124,518"
2020.03.13,"176,111"
2020.03.16,"107,699"
2020.03.17,"124,614"
2020.03.18,"126,497"
2020.03.19,"144,985"
2020.03.20,"141,606"
2020.03.23,"103,901"
2020.03.24,"105,137"
2020.03.25,"123,635"
2020.03.26,"118,456"
2020.03.27,"118,304"
2020.03.30,"72,070"
2020.03.31,"88,619"
2020.04.01,"85,399"
2020.04.02,"87,781"
2020.04.03,"70,008"
2020.04.06,"85,470"
2020.04.07,"77,309"
2020.04.08,"80,087"
2020.04.09,"87,322"
2020.04.10,"52,942"
2020.04.13,"46,660"
2020.04.14,"49,264"
2020.04.16,"95,787"
2020.04.17,"81,187"
2020.04.20,"84,956"
2020.04.21,"73,385"
2020.04.22,"61,608"
2020.04.23,"66,148"
2020.04.24,"43,832"
2020.04.27,"44,747"
2020.04.28,"62,640"
2020.04.29,"62,138"
2020.05.04,"115,139"
2020.05.06,"61,418"
2020.05.07,"74,722"
2020.05.08,"48,346"
2020.05.11,"57,670"
2020.05.12,"57,897"
2020.05.13,"82,898"
2020.05.14,"66,659"
2020.05.15,"38,423"
2020.05.18,"33,109"
2020.05.19,"37,752"
2020.05.20,"34,692"
2020.05.21,"37,358"
2020.05.22,"50,524"
2020.05.25,"26,983"
2020.05.26,"49,900"
2020.05.27,"41,768"
2020.05.28,"69,062"
2020.05.29,"111,196"
2020.06.01,"73,711"
2020.06.02,"63,159"
2020.06.03,"78,863"
2020.06.04,"71,908"
2020.06.05,"46,058"
2020.06.08,"64,666"
2020.06.09,"65,670"
2020.06.10,"52,893"
2020.06.11,"94,916"
2020.06.12,"56,243"
2020.06.15,"58,438"
2020.06.16,"51,894"
2020.06.17,"48,227"
2020.06.18,"34,744"
2020.06.19,"52,602"
2020.06.22,"49,628"
2020.06.23,"71,178"
2020.06.24,"53,841"
2020.06.25,"68,787"
2020.06.26,"45,099"
2020.06.29,"41,571"
2020.06.30,"66,737"
2020.07.01,"39,362"
2020.07.02,"59,266"
2020.07.03,"27,567"
2020.07.06,"33,526"
2020.07.07,"51,655"
2020.07.08,"45,975"
2020.07.09,"53,255"
2020.07.10,"46,784"
2020.07.13,"44,544"
2020.07.14,"46,304"
2020.07.15,"44,722"
2020.07.16,"37,732"
2020.07.17,"32,524"
2020.07.20,"35,635"
2020.07.21,"43,538"
2020.07.22,"32,377"
2020.07.23,"59,542"
2020.07.24,"28,930"
2020.07.27,"22,236"
2020.07.28,"70,920"
2020.07.29,"172,587"
2020.07.30,"42,766"
2020.07.31,"49,148"
2020.08.03,"46,427"
2020.08.04,"39,664"
2020.08.05,"29,575"
2020.08.06,"45,527"
2020.08.07,"50,121"
2020.08.10,"39,194"
2020.08.11,"76,888"
2020.08.12,"35,646"
2020.08.13,"55,474"
2020.08.14,"60,906"
2020.08.18,"74,043"
2020.08.19,"34,202"
2020.08.20,"67,150"
2020.08.21,"48,947"
2020.08.24,"44,418"
2020.08.25,"42,798"
2020.08.26,"47,046"
2020.08.27,"57,171"
2020.08.28,"38,164"
2020.08.31,"82,319"
2020.09.01,"63,568"
2020.09.02,"62,694"
2020.09.03,"52,605"
2020.09.04,"91,571"
2020.09.07,"39,435"
2020.09.08,"48,326"
2020.09.09,"49,343"
2020.09.10,"69,890"
2020.09.11,"43,963"
2020.09.14,"36,442"
2020.09.15,"97,542"
2020.09.16,"50,309"
2020.09.17,"74,073"
2020.09.18,"52,621"
2020.09.21,"61,546"
2020.09.22,"61,551"
2020.09.23,"64,781"
